 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Jul/2023
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"Total"
"11 Rondônia";1388528,39;2931283,42;1541682,52;1525314,96;1645953,84;1406150,68;3065279,01;3231494,61;3117178,63;3068430,44;2825838,52;2931173,58;2885269,07;2860103,74;3684944,68;3607289,68;3774356,60;3706711,84;3763187,55;3533625,83;3605007,43;3907032,72;3939820,71;3901084,11;3684407,02;3623015,58;3890461,90;4193533,87;4534400,67;4451208,03;4874592,78;4460802,38;5067886,24;4511092,85;4394680,50;4098741,80;4411499,48;3868617,95;4298702,78;5062171,26;4769347,86;4578105,60;4477870,09;5173453,51;5554791,51;4110177,87;4428561,32;3534337,12;4015781,56;4426788,59;4873364,26;4516103,32;4619267,68;5226741,11;4756327,23;4112530,56;4023514,11;3866138,34;3543519,05;3201183,18;4072043,77;4534984,70;5229512,34;5660083,57;5681210,93;5076918,42;5623854,81;5928359,34;6019754,08;6050368,46;6422821,25;6172605,14;5773335,50;6229461,54;6536336,12;6611751,56;7122614,34;7207965,81;6725041,04;7220209,27;6814650,05;5931824,36;6179626,72;6743020,43;7278090,89;6619352,84;7131263,61;6945021,28;7868953,20;7546597,11;8738484,55;6756554,76;7443631,94;6964209,53;6310062,08;6561221,77;7735224,22;7995955,06;7189165,44;7956812,12;7551313,49;7930610,83;8133705,36;8150486,59;8022627,09;7280387,24;7047166,57;6961884,87;7820057,09;6801952,61;7825186,40;8706448,06;7700730,62;7948291,63;8438077,45;7656644,83;8047742,98;8657206,23;8150893,68;7507845,13;7998345,94;8893683,69;8867793,32;8871408,50;8501601,67;8315107,81;8525499,78;9177611,46;7368996,38;8835095,43;8328186,64;8408512,77;9351705,82;8143007,97;8949741,77;9630553,15;9581970,31;7891114,05;9792370,67;9170787,53;8816846,71;10024554,15;9675423,70;8085025,66;9222010,60;7493901,30;8148169,46;7353768,37;7739864,47;9308601,23;11954489,94;11887993,85;10328280,19;8068024,57;9486450,48;9020062,64;9861592,32;9812340,48;14953391,13;15563729,11;16492196,14;15572901,51;14742747,37;13054732,77;12115394,39;9768041,54;11098424,77;11210055,47;11094746,21;12431841,65;12174377,23;11121899,06;10347874,99;8671261,99;9864471,65;9145590,72;10292958,39;9160542,91;9324183,87;11135187,34;10253476,82;8631726,79;11215317,62;10442661,01;13704433,29;10881817,23;10112839,41;1323497991,38
"12 Acre";902416,00;1497206,26;1794028,48;1730469,42;1819443,92;1828496,00;2511754,59;2089107,14;2275708,53;1923886,57;1756986,80;2235639,98;2497116,43;2253558,01;2122673,92;2834317,62;2722065,97;2432831,95;2630190,65;2307579,00;-;2826477,02;2170791,18;2541526,44;2491042,33;1954473,90;2389996,38;2654878,60;2844085,21;2336207,19;2125143,06;2430293,67;2377738,44;2184746,84;2468452,90;2516284,54;3051370,08;2629104,42;2485451,79;2685361,47;2723636,56;2703465,22;3136180,38;2779056,81;2843787,04;2678333,12;2995350,62;2798961,10;2477516,55;2020664,45;2891004,20;2917189,18;2856559,74;2972526,32;2642561,57;3092964,63;2305053,90;3023732,28;3077000,68;2652599,99;2629926,82;3042756,88;2938961,84;3078191,21;2690955,41;2484380,90;2695489,86;2858632,12;2747845,31;2787096,33;2833968,00;2817689,19;3401042,72;2727314,78;2876282,12;2997785,18;3048049,52;2842110,36;3186712,81;3061644,48;3008496,43;3162186,27;3185054,44;2542641,25;3375217,14;3024505,16;3102975,42;3080946,80;3065970,28;3179076,68;2849011,25;3238448,07;3279779,27;3010495,38;3054205,54;3001387,94;3049208,63;3351792,42;3118339,30;3378121,43;3168503,68;3916151,76;3837020,05;3659074,22;3540035,67;3184932,00;3019223,73;3264746,69;2821087,89;3361575,80;3080444,99;2792505,42;3268651,85;2397512,85;2348760,00;3139155,41;2765062,92;4540084,78;4120228,96;2610454,55;3576595,19;2444567,37;2602434,35;3064163,42;2276236,69;3239474,10;3126429,88;2998865,51;2619709,86;3018048,94;3342614,24;2123426,26;2664654,52;1906429,95;3096439,63;2411628,00;2840630,58;3260153,59;3250722,84;3204998,88;3052745,65;3124802,29;3021521,75;2874871,28;3331803,55;3417691,07;3076003,20;2286642,60;2896340,24;3045245,80;3915193,20;3640142,82;3391242,21;4044321,44;3276590,10;3696997,31;3715723,12;3538427,92;4077045,92;6307616,67;6354514,15;3461663,11;4979239,30;4138751,64;4260017,06;3828566,34;2889654,47;3138245,58;3547361,84;3424337,76;3584824,97;3791898,20;4523687,48;2978062,37;2802612,38;3793316,97;3310293,30;3511587,05;4110985,51;3999023,90;3492410,89;4261938,15;4927482,49;4701182,54;4845006,75;5124899,00;5692793,93;565830504,27
"13 Amazonas";4735529,42;7118990,57;8196635,49;8259378,42;7831399,90;8477273,62;9368858,72;9352532,70;9363099,35;8618318,83;6555549,08;7777645,88;7403068,36;6683346,89;9927781,20;8844511,21;9079035,96;8832894,53;9373395,97;9578326,03;9730634,16;9179252,65;8314648,93;9050439,39;9419460,86;8680178,57;9168055,41;9897901,80;9651362,37;10854599,47;10417122,89;8718347,13;8221592,12;9613977,03;9927574,41;9470661,21;9736750,91;8745259,80;9380112,36;10179342,29;11061892,22;10211426,03;12123214,39;9559769,10;10082882,91;9971934,86;9280038,03;11310448,23;10352439,40;10902583,74;10336630,29;9891098,07;10955256,77;10614256,72;11280206,14;10115473,76;10606064,15;10488989,62;10042561,52;8864038,68;10739446,51;9684212,55;10130504,54;11391815,28;10568514,30;11145486,18;10698375,56;11873036,73;11047897,23;11291971,45;10409535,59;10075788,88;10854399,27;8530242,21;9541806,56;8926365,37;11573335,40;10115769,72;9843473,49;9940875,63;11022062,33;10881666,13;10596831,32;10073869,11;11653868,55;12074530,23;11599144,27;12592492,33;12785467,37;13414600,97;14294033,22;12546727,34;12996512,49;13035233,22;12949248,84;11336880,23;10920318,02;11918470,84;13023926,19;12155273,10;13519252,14;13076793,34;12605307,29;13670157,49;13659651,19;11115915,16;10975042,21;11172130,72;12819877,21;10999828,34;14050412,75;12450515,95;14585552,51;12789637,85;14376990,41;14240071,26;13594647,25;14584288,95;13158724,61;13169660,32;13572263,03;13083081,70;14322305,22;14643340,51;14632208,09;14500521,14;14840533,42;14427620,91;15818964,25;16358462,57;15391163,74;14154362,85;16791397,31;14369987,43;16339024,96;15622910,63;16483166,92;15422243,28;15961988,04;15787896,78;16515441,67;15788848,91;15784686,14;14388606,82;16063450,73;14939977,20;15107056,74;13540590,64;19703025,18;21134874,24;19769752,76;18069587,18;17852221,73;16419160,70;19903821,77;17794528,56;21621697,26;26903413,08;26598262,21;22733131,00;25882861,87;26200089,42;24066337,32;22720450,82;21120609,03;16901290,05;18371952,43;17783646,65;15534203,50;18217410,79;19742224,74;18984786,74;20497811,60;16096601,99;21996502,40;20890677,33;23220479,51;19801969,84;20549906,88;22174482,71;20582882,10;16592818,25;21507231,69;19411526,64;21422825,49;21456864,84;23204118,38;2500742656,33
"14 Roraima";657889,53;777939,31;718688,03;839994,39;862347,96;832440,66;996693,09;894271,18;910424,17;1191770,32;1056218,71;1244339,25;1085679,25;969528,54;1393226,70;1273734,17;1552638,50;1490587,74;1596751,80;1848998,68;1701611,25;1164711,18;1434809,17;1603817,28;1437340,80;1332094,01;1900513,75;1933875,49;1773958,29;1804729,73;1846639,32;1643518,23;1843163,29;1807885,17;1674871,65;1250999,28;1257275,43;1171045,72;1389668,67;1344865,94;1067658,62;1263672,05;1332059,90;1578802,72;1680654,08;1442744,11;1650204,12;1929960,01;1454967,71;1851381,93;2033270,63;2013566,74;2135433,72;1881388,84;1700584,76;1900737,72;1675603,38;1459814,93;1606433,71;1566723,97;1560766,91;1572959,06;1872493,39;1849434,84;1906244,70;2046527,40;2230115,06;1987863,23;1692032,87;1749131,23;1623751,92;1449573,40;1799254,33;1673138,65;1707514,82;1509667,70;1746450,27;1568152,88;1763225,69;1808929,95;1633205,33;1626604,96;1784288,11;1137519,58;1782510,89;2242719,18;1827444,50;2256510,91;1859541,42;1550643,78;1968388,99;2613984,17;2342709,66;2186291,71;2046678,01;1879063,44;1768010,64;1761873,12;1975897,20;2631309,15;2405520,72;2487164,76;3104153,09;2717341,67;2667842,22;2756299,47;2478590,27;2379805,56;2331250,21;2328221,91;2524744,05;2637579,82;2510634,79;2755620,24;2878177,60;2921978,36;2794080,79;2512259,50;2508514,18;2635287,45;2914195,21;2881281,13;2740423,51;2695484,62;2613895,43;3020718,84;2860584,22;2740088,01;2689103,41;2985029,23;2771881,20;2938769,32;2527888,58;2587642,41;1923440,17;2422446,17;2495491,03;2851291,67;3137537,40;3788154,80;3217218,61;3113940,14;3157977,67;3097113,21;3059823,80;2912519,98;2937346,43;2868820,96;2752228,26;3401864,29;3015488,30;2826486,18;2928043,91;3090313,73;3621031,05;3454460,94;3266928,47;3519773,73;4437161,10;5171370,92;4266254,94;3103979,88;3743330,65;3781921,16;3150835,05;3185551,53;3022781,41;3129225,29;3024454,61;3097211,89;3328597,91;3720357,38;4057891,01;497359,98;3454826,85;4595040,09;4798584,89;4401306,60;4173265,49;4416030,67;4486756,39;3887376,46;4597297,19;4456289,66;4435042,77;2990546,28;3402210,96;433704294,02
"15 Pará";18864744,11;19553758,20;21937342,70;20842829,69;23249952,88;23240687,56;24002223,56;23341218,03;25172261,32;24011712,48;21526303,70;23896804,99;24613320,93;24015940,01;26624310,10;26478979,58;26366401,19;25440701,25;28079331,88;27588522,26;27967969,22;28430631,19;25432419,12;26405862,20;25841889,70;26527192,33;27433129,31;25753868,16;27515463,84;26934203,47;26668195,02;26606749,81;27226660,53;27185706,84;27019994,90;26036033,25;27913374,40;26771060,28;27060396,38;27868879,78;25307476,19;28343034,68;24565538,49;25528460,74;28301294,35;27370964,61;25880407,71;26238490,03;27326329,10;26349845,26;27351755,74;26908659,29;27046198,36;26377422,89;26363477,67;20608795,00;26719283,05;26927163,20;26243631,89;27313748,48;25716468,35;27230611,92;27800745,33;28157962,06;28931084,84;30073494,18;29200573,47;27861583,35;28490038,60;28389416,65;28630467,92;30205302,72;26976831,19;27636018,25;28440495,48;28229650,98;28722845,27;30356126,43;28147550,89;27946764,08;28959611,93;30101037,11;28718375,83;28616330,52;28542136,50;28618366,52;29168223,09;30174783,94;29979937,84;29322659,71;30471017,89;31563922,22;29964621,66;29189794,43;29285733,64;27695852,89;27606572,27;29569770,87;28560310,47;30014919,19;29516894,49;30774513,14;29981379,23;30099178,67;30831386,91;31994665,39;29052732,84;29146575,51;30754370,21;30351043,39;31280430,65;32051882,54;30507852,39;32202265,99;32771002,63;32204013,38;34983747,88;34138970,65;33280643,37;34426413,15;31591185,32;31378879,00;32909877,51;35053278,80;33973133,85;35560757,57;33465172,06;35497371,12;34896020,28;37385364,64;34294171,03;34168505,29;33849909,80;32871717,66;33130995,71;36044319,40;35906526,59;35242306,77;29460144,72;31179893,86;34175218,80;36122298,83;36874442,23;35947766,42;34365985,58;37417579,86;35610330,34;28292446,48;32998806,72;42240776,53;40851896,60;44451659,55;36858888,56;37025006,25;39040983,98;38068009,09;38842407,79;39270803,77;40701470,83;46662714,56;55352070,66;48295002,33;46336237,30;45126860,59;45776186,52;45049860,36;44574730,87;44365816,25;45062563,73;45109846,59;43896922,49;47121364,62;45525979,99;44826329,15;46667050,15;47567489,78;45590368,38;46105985,33;43722432,96;44491250,98;46256080,99;46368305,40;47279175,45;47399397,50;45061290,16;42617966,49;48699943,87;6006062508,41
"16 Amapá";1120973,34;1268740,33;974651,24;1141137,32;866346,18;1440978,95;1426659,48;1475551,38;1651341,43;1866748,58;1426138,18;1696614,53;1665895,54;1719940,00;1750321,77;2052705,19;1915803,55;1787587,54;1763665,03;1746538,99;2034329,78;1839723,26;1882221,29;1712948,71;1849157,17;1605246,04;1525752,37;1572809,36;1653304,86;1685303,78;1773604,15;1662522,64;1811346,65;1654294,56;1958555,54;1984579,56;1928716,67;1725458,50;1703040,74;1849254,15;1877764,70;1824413,77;1958748,33;1648820,20;2008607,15;1735371,53;1765232,33;1984622,25;1731934,33;1736602,27;1877427,40;1810215,83;1934889,49;1940127,06;2065225,89;1997713,00;2029073,53;2003492,09;2086524,25;1984701,05;1873324,52;1699031,94;1772098,19;2052260,55;2105954,30;2312795,29;2167442,71;2087176,35;2017311,99;1966476,53;2067127,94;1980437,55;1930990,93;1873469,06;1805952,31;1992130,63;2274212,55;1635034,56;2240376,26;2128269,35;1931324,11;1963927,38;1791744,72;1786830,89;1609767,42;1441043,63;1702493,39;1837470,82;1901951,16;2048564,82;1905641,81;1833930,69;2104874,14;1983042,85;1871083,38;1813281,56;1714795,55;1569543,74;1668555,78;1753839,47;1897437,54;2003945,53;2094138,46;1949259,95;1880541,13;1751634,91;1779290,66;1853989,34;1875579,06;1799370,10;1665356,48;1702593,70;1897787,14;2050824,29;1881406,55;1940174,73;1923150,03;2036787,91;1876731,42;1716855,56;1836149,63;1954823,32;1882553,32;1781034,49;1821567,42;2120412,72;1910968,09;2453555,40;2652283,29;2637161,32;2139141,93;2654304,54;2549805,60;2294126,19;2511041,32;2746817,21;2648904,75;2117098,07;2388704,49;2905190,27;2145557,83;2455947,45;2310514,38;2296699,42;2333822,65;2310195,65;1842472,54;1705873,64;2065055,35;2009912,57;3253399,45;2946398,44;2416019,23;2203732,04;2218532,26;2566919,60;2807807,85;2822559,17;3192515,69;3622062,04;4388127,81;3967128,98;5215333,80;5269329,19;5036697,91;3991470,65;2708129,08;2543977,96;3047785,84;2999037,43;2665227,92;3018714,28;2901502,47;2986470,21;2965227,79;3203395,22;2747533,17;3284950,01;2772076,15;3339803,63;3416814,67;2961230,08;4181125,31;4087811,85;6327228,14;3497928,26;-;407020148,52
"17 Tocantins";3441592,69;4985688,85;6205612,60;4984482,09;5511002,46;4927934,22;5445602,28;5413710,38;5596669,50;4658414,01;5252451,80;5523443,70;5791656,63;5814388,89;6273994,59;6762806,93;6575718,57;6423393,40;6349231,85;6490519,50;6542918,14;6420058,63;6149491,80;6075178,19;6411312,84;6403262,51;6698840,55;6905354,41;6864576,47;6876811,94;6732224,34;7110923,00;6644145,62;6861920,56;6553013,61;6450647,82;6695049,17;6735950,07;7285116,46;7077600,27;7276517,85;7204515,82;7111068,57;6398846,69;6671885,21;6668674,99;6818007,56;7326766,19;7349981,38;6906666,50;8295260,11;7404533,57;7394948,64;7879916,82;7270326,59;7568211,84;7011488,83;6801718,91;6216482,98;6435055,37;6437964,96;7918351,20;7745929,88;7603624,90;7985256,31;8309699,73;6975424,96;7450740,84;7079191,03;7954081,13;6804464,16;6860885,77;7450518,49;7543839,51;7386177,85;7106540,44;7226788,09;7008936,76;7123445,53;8010542,13;7947217,21;8058333,55;7498623,81;6075309,60;7017704,11;6607349,96;6598637,99;7197312,63;6163740,83;7275370,04;6987921,76;6243320,96;5831094,19;6271670,32;6464273,87;5569115,04;5452646,99;7002099,24;7526781,90;6714887,59;6775391,70;6237057,69;6757143,54;6766501,09;6343847,41;5564377,89;6647651,04;6245735,72;6041173,17;6185379,91;7066456,44;5722291,45;7017035,58;6392708,38;5837072,54;6608301,60;6155701,19;5104089,76;5441162,74;5200789,02;5341353,03;5361684,48;5913061,01;4617378,68;4662238,24;5664149,36;5328909,25;5473666,63;5152490,73;5272355,92;4873715,59;5321091,08;5791079,68;5881439,69;6593258,41;6684401,50;7143806,13;6136528,26;7118118,28;7607639,98;8498162,91;7181834,26;6467132,92;7210731,09;8098081,50;7024599,22;7210345,19;6391193,66;6708560,19;7439039,33;9161017,13;8393462,98;8736822,57;7771468,08;8878567,15;7072686,76;7302211,47;9879152,35;10700770,91;9365632,90;9511274,51;11262768,61;10159174,66;10136608,55;11170484,72;11833522,68;9267700,51;8635144,54;8727670,03;8426181,56;7720673,40;8478021,84;8686205,22;8256949,65;8379643,30;7680376,27;7987467,33;8353313,15;7626080,61;8833438,67;8964170,92;8530799,43;8611724,38;9961388,68;11383928,92;770467,12;428427,77;1299742714,41
"21 Maranhão";10723506,39;13559679,41;13985142,36;14809416,46;14505727,38;14908091,32;15784899,40;15195312,89;14951277,75;16072219,28;14016545,04;15792303,93;14782429,14;16842416,53;16681626,41;17735055,55;17466345,31;17459229,54;18021648,34;19332949,68;19722895,51;19277852,57;18634078,27;19117914,42;18906152,18;17540838,45;19741933,29;19445208,55;20174079,39;20368446,35;20361636,95;20566710,40;19061901,55;20690798,08;21028915,80;19417889,95;20078774,98;20448952,89;20679514,26;21210956,43;20711362,63;20133585,72;20093760,87;20561354,00;20823782,57;21443192,85;20624583,38;21018995,06;19910712,45;20903047,82;21470376,33;23206397,57;23485362,14;22450749,87;23435622,79;21805434,82;21798310,07;21141382,25;21023222,79;19537791,98;21450719,20;21364133,12;22461901,45;23228749,74;25240524,07;24358828,55;24958955,03;24967531,41;25163721,77;25079061,93;24644011,47;24811898,90;25074797,96;23578706,77;24379180,43;24561919,83;24500997,60;26362567,92;25424053,10;26273438,74;26724276,68;25224307,37;25527490,63;24173557,53;23007366,00;24593179,79;25983153,20;25551983,98;27394126,13;26762772,42;27211673,48;26732789,79;26929089,25;26298140,28;25549080,29;25527661,43;26264050,26;24711983,48;25658079,48;26215740,88;26625097,16;26868870,97;27245242,67;26354933,71;25975872,16;25534733,58;25483933,05;20546508,53;26153825,19;25915583,50;27895091,69;26808643,39;28064440,72;27699191,35;29321581,70;28974267,39;28210786,25;28352324,75;26858367,06;29435501,73;28524888,88;26351836,62;30050918,58;31077432,22;29485732,67;29359484,98;29441181,87;30255833,42;29645428,53;29310709,37;28462327,93;29606231,79;30641772,18;27369051,19;30399681,09;30406171,44;31437580,62;30094232,34;30724404,59;31712464,35;30923188,40;32025892,76;31013878,74;29659493,42;30324868,50;30018188,06;29309892,09;25256589,20;31382563,90;34921838,63;35497966,06;32279553,26;30167548,03;33401913,72;32120375,92;31089097,19;31820050,29;32763511,76;44854249,48;50406725,35;53579187,88;51476584,09;52577550,99;44466565,18;40122547,01;36949930,58;33981831,62;37328658,04;37767021,79;38664627,79;37036192,67;36737912,51;38484280,22;36297713,29;39760287,40;38607141,98;37255664,57;37640087,51;36383087,58;37781432,57;39484734,55;36425340,70;37579204,74;35370724,03;36771835,35;36147426,69;37403755,73;4992607374,71
"22 Piauí";7985142,43;10079928,25;10298372,45;10775976,33;10398360,88;10528253,88;11040107,92;10549176,40;10899198,97;11715943,38;10369913,55;10684587,12;10448286,35;10617670,35;11401299,72;12428589,39;13096561,66;13372660,40;13310452,49;12168904,03;12247027,29;11744946,02;12196050,05;13459523,06;13377545,88;12026087,81;13110928,87;13027827,92;13209892,57;12463347,78;12218924,47;12104581,53;11794304,49;11740569,52;12372469,69;11421766,77;11954750,85;11219584,72;13070767,19;13143485,15;12889360,42;12033508,93;12727802,04;12132453,19;12337823,57;12121361,96;12139729,75;12477915,21;12619535,41;11395160,86;12737321,75;12142250,28;13129897,87;12594498,58;13128752,90;13213409,87;13149787,65;12613748,10;12916332,76;10359313,84;13902810,56;12273154,58;13518766,19;14171819,16;14837895,80;14391407,33;15475406,15;14563444,64;13313035,17;13699020,82;13475082,18;12203866,56;13925397,46;12972098,71;13751165,19;13912536,25;14205768,41;13579613,82;13046445,88;14592991,93;14776732,77;13960878,05;13463269,30;12615568,41;13358738,91;13785632,94;14584722,64;14322942,19;15013200,79;14454832,59;14398152,47;15150229,33;14256213,20;15714147,30;15084901,43;14733472,07;15571565,11;14363504,72;15880991,44;15892745,74;15943858,05;16258706,62;16465969,20;16228607,43;15549846,19;15736373,68;15391534,31;15393789,12;15107868,39;14790246,86;15341220,32;15269541,96;16099564,15;16030487,08;15389371,73;16008485,48;15958946,19;15596652,45;14963370,52;16048864,85;15727504,93;15541518,92;16408257,61;16455257,04;16646954,86;16330507,19;16393717,19;17055960,69;16152452,68;16305480,04;15869156,06;17047311,75;15882517,83;15433452,88;16189802,79;17051416,58;17792232,00;17263004,56;17460423,29;18086949,20;17769414,47;18500751,19;17748312,51;17641837,23;16229473,38;16851334,11;14568254,23;12224393,97;13182211,00;15282065,70;19908573,27;25663537,49;20230782,72;22390896,85;18915102,19;20888691,04;22694558,18;20989694,74;21620638,14;27410286,55;30173706,38;31135971,40;29451460,79;28954296,01;23195247,30;20880006,59;22890295,59;22555250,91;21791088,51;20134802,76;20229120,79;20192053,55;21111589,74;18827835,50;22532119,23;20681351,22;20853615,40;19848979,00;19660942,57;20942972,15;22038805,71;19366405,11;22747749,86;20132369,89;22562649,57;22877161,77;22889299,35;2920163038,99
"23 Ceará";15539821,90;25735101,55;28724625,75;30676457,06;30604453,47;31272395,18;30925391,36;27851438,72;30362719,90;27657898,74;23572202,62;33251315,89;28809087,67;31631678,94;36939120,91;34179912,08;36272200,59;34514430,28;33985745,09;34682824,87;34471579,06;34058130,68;33861419,95;32151569,45;31949416,20;33250426,39;35653267,77;35280277,67;35760071,81;35224241,72;33677543,24;36365864,28;34901701,12;32267756,89;34415020,82;33249126,78;34083768,13;34657124,63;34921321,39;35289057,05;31312651,43;34958166,98;35600653,57;34923503,02;34917942,75;37067583,72;36176592,24;36163224,49;33904905,31;34429527,00;36060511,72;36387903,45;36728767,46;37193350,35;35902921,65;36804484,15;36291974,12;34919726,64;34136530,45;33435320,11;34359519,16;35133251,78;37546233,35;41295702,27;40939009,64;37839667,55;42270617,66;40582966,62;43854435,74;43085302,61;41208497,92;39790795,23;43974395,97;40184793,47;40342501,47;40563143,01;44720573,47;41205987,70;46219584,77;43074266,62;44841468,62;41344333,25;41348809,15;42357514,72;41338903,46;39202385,23;43321011,48;43669409,97;44139477,01;45122415,42;45763263,53;45838906,81;45536932,02;44074999,72;46985437,04;42069845,68;42137536,29;42612272,89;41705286,12;44750003,28;45625574,80;47254860,59;45694578,24;48499950,85;47371013,95;46087169,60;44416697,03;43959411,65;41682796,39;42896779,59;46482524,94;43165850,62;46984022,33;46412837,02;46353321,61;47766332,04;47342510,36;48964370,84;47756590,17;45509439,96;48012434,52;45500460,48;48132921,00;48061986,29;48954862,10;47404127,98;49250389,91;50528833,27;46519835,66;48461986,08;47851900,31;45277060,12;49469464,64;47565552,04;48209418,30;49676998,37;52622124,54;50899685,24;52995900,80;52448675,67;51139884,41;51554343,17;50519641,21;50835606,88;50630584,39;50725074,22;47009985,82;45048541,70;46442101,89;54999754,23;56025385,70;61728043,89;56708848,06;59171588,67;56990741,42;50980310,20;52326883,60;56302448,96;68431457,05;78634779,04;87024180,65;110342286,04;90870768,49;80203689,73;81201363,06;57918645,09;58774701,12;55740930,64;59206971,42;56977184,47;58789242,03;59913710,12;60553184,76;61959531,04;61475329,20;64243793,13;58053631,24;62349453,13;60222157,55;62702932,76;61623857,38;58288915,59;61739863,61;63849405,28;65253652,45;62567918,16;53287931,05;8455757689,51
